lat,lon,alt,date,device,os,version
40.6946334839,-73.9834747314,26.1430664062,2015-04-29 04:30:56,"iPhone6,1",8.1.3,1.1
40.7012138367,-73.9499893188,26.1430664062,2015-04-29 05:13:36,"iPhone6,1",8.1.3,1.1
40.6951904297,-73.9468231201,35.7698669434,2015-04-29 07:17:20,"iPhone6,1",8.1.3,1.1
40.7089347839,-73.969039917,25.0055236816,2015-04-29 14:00:32,"iPhone6,1",8.1.3,1.1
40.7295150757,-73.9953384399,25.0055236816,2015-04-29 14:11:12,"iPhone6,1",8.1.3,1.1
40.7009773254,-73.9551315308,25.0055236816,2015-04-30 08:00:00,"iPhone6,1",8.1.3,1.1
40.6950378418,-73.9467010498,54.9733276367,2015-04-30 08:23:28,"iPhone6,1",8.1.3,1.1
40.7127227783,-73.9686965942,28.1510009766,2015-04-30 16:34:08,"iPhone6,1",8.1.3,1.1
40.7295227051,-73.9968719482,28.1510009766,2015-04-30 16:42:40,"iPhone6,1",8.1.3,1.1
40.7124671936,-73.9889450073,28.1510009766,2015-05-01 02:37:52,"iPhone6,1",8.1.3,1.1
40.6920471191,-73.9640960693,28.1510009766,2015-05-01 02:52:48,"iPhone6,1",8.1.3,1.1
40.7014083862,-73.9790725708,28.1510009766,2015-05-01 03:37:36,"iPhone6,1",8.1.3,1.1
40.6887817383,-73.9680175781,28.4139041901,2015-05-01 03:50:24,"iPhone6,1",8.1.3,1.1
40.701965332,-73.9809112549,42.2196083069,2015-05-01 13:45:36,"iPhone6,1",8.1.3,1.1
40.7330780029,-73.9983139038,13,2015-05-01 13:52:00,"iPhone6,1",8.1.3,1.1
40.7295875549,-73.9936218262,20.9354915619,2015-05-01 14:09:04,"iPhone6,1",8.1.3,1.1
40.7296409607,-73.9937820435,13.0841426849,2015-05-01 23:04:32,"iPhone6,1",8.1.3,1.1
40.7287597656,-74.000579834,9,2015-05-01 23:36:32,"iPhone6,1",8.1.3,1.1
40.7300071716,-73.9935455322,16.0713806152,2015-05-02 00:36:16,"iPhone6,1",8.1.3,1.1
40.7058410645,-73.9947433472,13.7217693329,2015-05-02 06:11:12,"iPhone6,1",8.1.3,1.1
40.6908874512,-73.9814758301,13.7217693329,2015-05-02 06:17:36,"iPhone6,1",8.1.3,1.1
40.6955375671,-73.9477615356,28,2015-05-02 06:32:32,"iPhone6,1",8.1.3,1.1
40.7330245972,-74.000038147,18.4079208374,2015-05-02 16:00:00,"iPhone6,1",8.1.3,1.1
40.7311286926,-73.9935379028,13.2860679626,2015-05-02 16:14:56,"iPhone6,1",8.1.3,1.1
